name,classification,category,source,scope,url,NP_selflessness,NP_integrity,NP_objectivity,NP_accountability,NP_openness,NP_honesty,NP_leadership,NP_all,notes,url_source,code_url,code_name,match,level,adopts_7,principles_count_mentioned,NP_score,nolan_inconsistency,confidence,human_review,scraped_date

Ab Kettleby Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://ab-kettleby.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09




Abbas and Templecombe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://abbasandtemplecombe-pc.gov.uk/,Y,Y,N,N,N,N,N,No,,found_via_name_search,https://abbasandtemplecombe-pc.gov.uk/wp-content/uploads/2025/09/ATPC-Standing-Orders.pdf,ATPC-Standing-Orders,code of conduct; code of practice,individual,No,,2,No,Medium,No,2026-09-09
Abberley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abberleyparish.org.uk,N,N,N,N,N,Y,N,No,,,https://www.abberleyparish.org.uk/wp-content/uploads/2026/05/2023-Register-of-Interests-Form-Libby-Tassell_Abberley-Parish-Council.pdf,"Registrable interest form - Mrs Libby Tassell (PDF, 170.31 Kb)",code of conduct,individual,No,,1,No,Medium,No,2026-09-09

Abberton and Langenhoe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.essexinfo.net/abberton-langenhoe/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Abberton Parish Council,,Parish Council ,FOIA | ONS,IS,,,,,,,,,,,,,,,,,,,,,,







































"Abbess, Beauchamp and Berners Roding Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Abbey Hill Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.abbeyhillparishcouncil.gov.uk/default.aspx,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


















Abbeydore and Bacton Group Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://abbeydoreandbactonparishcouncil.wordpress.com/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


Abbots Bickington Parish Council,,Parish Council ,FOIA | ONS,IS,,,,,,,,,,,,,,,,,,,,,,
